soil_type	pH	sample_id	sample_label	replicate	soil_g	measured_percS	WP	water_PerTotalSoil	water_perDrySoil	bulk_density_gPercm3	volumetric_moisture_perTotSoil_rhoW	volumetric_moisture_perDrySoil_rhoW	time_min	h2_ppmv_raw	bulk_vol_soil_ml	porosity	vol_solids_ml	bottle_vol_ml	vol_HS_ml	vol_HS_dilution	h2_ppm_InDilution	h2_ppmv_dil_corr
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	0	0.674	4	0.6	1.6	240	238.4	2	0.7	0.674
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	14	0.764	4	0.6	1.6	240	238.4	2	0.6	0.765
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	27	0.664	4	0.6	1.6	240	238.4	2	0.6	0.664
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	43	0.573	4	0.6	1.6	240	238.4	2	0.6	0.573
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	62	0.497	4	0.6	1.6	240	238.4	2	0.6	0.496
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	94	0.531	4	0.6	1.6	240	238.4	2	0.6	0.530
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	115	0.303	4	0.6	1.6	240	238.4	2	0.6	0.301
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	147	0.341	4	0.6	1.6	240	238.4	2	0.6	0.339
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	188	0.231	4	0.6	1.6	240	238.4	2	0.6	0.227
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	219	0.199	4	0.6	1.6	240	238.4	2	0.6	0.196
Forest	4.2	3.5	6	1	2	3.3	-71.5	0.084	0.091	0.471	0.040	0.043	234	0.197	4	0.6	1.6	240	238.4	2	0.6	0.193
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	0	0.592	4	0.6	1.6	240	238.4	2	0.7	0.591
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	13	0.588	4	0.6	1.6	240	238.4	2	0.6	0.588
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	26	0.519	4	0.6	1.6	240	238.4	2	0.6	0.519
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	42	0.506	4	0.6	1.6	240	238.4	2	0.6	0.506
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	61	0.365	4	0.6	1.6	240	238.4	2	0.6	0.363
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	93	0.446	4	0.6	1.6	240	238.4	2	0.6	0.444
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	115	0.378	4	0.6	1.6	240	238.4	2	0.6	0.376
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	146	0.370	4	0.6	1.6	240	238.4	2	0.6	0.368
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	187	0.227	4	0.6	1.6	240	238.4	2	0.6	0.224
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	218	0.185	4	0.6	1.6	240	238.4	2	0.6	0.181
Forest	4.2	3.5	6	2	2	3.3	-69.5	0.084	0.092	0.471	0.040	0.043	233	0.188	4	0.6	1.6	240	238.4	2	0.6	0.184
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	0	0.618	4	0.6	1.6	240	238.4	2	0.7	0.618
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	12	0.566	4	0.6	1.6	240	238.4	2	0.6	0.566
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	24	0.577	4	0.6	1.6	240	238.4	2	0.6	0.577
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	40	0.508	4	0.6	1.6	240	238.4	2	0.6	0.507
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	59	0.440	4	0.6	1.6	240	238.4	2	0.6	0.439
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	91	0.283	4	0.6	1.6	240	238.4	2	0.6	0.281
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	113	0.405	4	0.6	1.6	240	238.4	2	0.6	0.403
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	145	0.279	4	0.6	1.6	240	238.4	2	0.6	0.276
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	186	0.227	4	0.6	1.6	240	238.4	2	0.6	0.223
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	217	0.235	4	0.6	1.6	240	238.4	2	0.6	0.232
Forest	4.2	3.5	6	3	2	3.3	-68.6	0.095	0.106	0.471	0.045	0.050	231	0.227	4	0.6	1.6	240	238.4	2	0.6	0.224
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	0	0.541	4	0.6	1.6	240	238.4	2	0.6	0.541
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	5	0.416	4	0.6	1.6	240	238.4	2	0.6	0.414
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	9	0.387	4	0.6	1.6	240	238.4	2	0.6	0.385
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	14	0.412	4	0.6	1.6	240	238.4	2	0.6	0.411
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	21	0.246	4	0.6	1.6	240	238.4	2	0.6	0.243
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	26	0.195	4	0.6	1.6	240	238.4	2	0.6	0.192
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	35	0.131	4	0.6	1.6	240	238.4	2	0.6	0.127
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	39	0.135	4	0.6	1.6	240	238.4	2	0.6	0.131
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	44	0.128	4	0.6	1.6	240	238.4	2	0.6	0.124
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	50	0.058	4	0.6	1.6	240	238.4	2	0.6	0.054
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	56	0.069	4	0.6	1.6	240	238.4	2	0.6	0.065
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	64	0.054	4	0.6	1.6	240	238.4	2	0.6	0.049
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	73	0.059	4	0.6	1.6	240	238.4	2	0.6	0.054
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	83	0.023	4	0.6	1.6	240	238.4	2	0.6	0.018
Forest	4.2	6	10	1	2	5.8	-16	0.135	0.156	0.471	0.064	0.073	93	0.052	4	0.6	1.6	240	238.4	2	0.6	0.047
Forest	4.2	6	10	2	2	5.8	-17.9	0.134	0.155	0.471	0.063	0.073	0	0.449	4	0.6	1.6	240	238.4	2	0.6	0.448
Forest	4.2	6	10	2	2	5.8	-17.9	0.134	0.155	0.471	0.063	0.073	10	0.440	4	0.6	1.6	240	238.4	2	0.6	0.439
Forest	4.2	6	10	2	2	5.8	-17.9	0.134	0.155	0.471	0.063	0.073	18	0.218	4	0.6	1.6	240	238.4	2	0.6	0.214
Forest	4.2	6	10	2	2	5.8	-17.9	0.134	0.155	0.471	0.063	0.073	26	0.126	4	0.6	1.6	240	238.4	2	0.6	0.122
Forest	4.2	6	10	2	2	5.8	-17.9	0.134	0.155	0.471	0.063	0.073	35	0.146	4	0.6	1.6	240	238.4	2	0.6	0.142
Forest	4.2	6	10	2	2	5.8	-17.9	0.134	0.155	0.471	0.063	0.073	44	0.082	4	0.6	1.6	240	238.4	2	0.6	0.078
Forest	4.2	6	10	2	2	5.8	-17.9	0.134	0.155	0.471	0.063	0.073	55	0.054	4	0.6	1.6	240	238.4	2	0.6	0.049
Forest	4.2	6	10	2	2	5.8	-17.9	0.134	0.155	0.471	0.063	0.073	67	0.038	4	0.6	1.6	240	238.4	2	0.6	0.034
Forest	4.2	6	10	2	2	5.8	-17.9	0.134	0.155	0.471	0.063	0.073	85	0.029	4	0.6	1.6	240	238.4	2	0.6	0.024
Forest	4.2	6	10	2	2	5.8	-17.9	0.134	0.155	0.471	0.063	0.073	98	0.001	4	0.6	1.6	240	238.4	2	0.6	0.000
Forest	4.2	6	10	3	2	5.6	-15.5	0.137	0.158	0.471	0.065	0.074	0	0.471	4	0.6	1.6	240	238.4	2	0.6	0.470
