soil_type	sample_id	moisture	gyrA_rpkm	gyrB_rpkm	g1h_rpkm	g2a_rpkm	gyrAB_mean_rpkm	gyrAB_sd	g1h_perc	g1h_perc_err
forest	F_10_rep2	12	358.38	377.65	134.37	1.44	368.02	13.62	36.51	1.35
forest	F_40_rep3	51	386.72	403.23	131.13	1.29	394.97	11.67	33.20	0.98
forest	F_6_rep3	8	344.94	350.70	112.28	0.96	347.82	4.07	32.28	0.38
forest	F_orig_30_rep1	64	376.11	384.95	122.96	1.64	380.53	6.25	32.31	0.53
forest	FS_30	37	368.33	378.08	127.13	1.13	373.20	6.90	34.06	0.63
meadow	M_20	17	769.82	728.11	196.75	NA	748.97	29.49	26.27	1.03
meadow	M_30	25	725.08	685.79	190.98	NA	705.44	27.78	27.07	1.07
meadow	M_50	42	716.34	714.76	144.92	NA	715.55	1.12	20.25	0.03
meadow	M_7	6	827.46	801.62	190.16	NA	814.54	18.27	23.35	0.52
PB sand	PB_30	31	334.97	326.22	129.35	NA	330.59	6.19	39.13	0.73
PB sand	PB_40	39	333.39	322.62	132.66	NA	328.00	7.62	40.45	0.94
PB sand	PB_5	3	343.26	326.07	139.94	NA	334.67	12.15	41.81	1.52
PB sand	PB_70	78	335.37	327.17	132.71	NA	331.27	5.80	40.06	0.70
